national_id,location_no,location_name,lat,lon,elevation_m
다사56716247,둘레길 101-01,우이-우이령길입구 시발 0.9km,37.66076206388889,127.00917872777778,89.0
다사56656231,둘레길 101-02,우이-우이령길입구 시발 1.2km,37.659323405555554,127.00855955833333,97.0
다사56536202,둘레길 101-03,우이-우이령길입구 시발 1.9km,37.65670083333333,127.00718462777778,105.0
다사56756128,둘레길 102-01,순례길입구 시발 0.2km,37.64996106388889,127.00981144722222,69.0
다사56436020,둘레길 103-01,흰구름길입구 시발 0.6km,37.640275172222225,127.00621706944445,93.0
다사56425986,둘레길 103-02,흰구름길입구 시발 1.1km,37.637167452777774,127.00607857777777,93.0
다사56615948,둘레길 103-03,흰구름길입구 시발 1.8km,37.63380305,127.00829916666666,103.0
다사56665927,둘레길 103-04,흰구름길입구 시발 2.1km,37.63189370277778,127.00888935555555,83.0
다사56705899,둘레길 103-05,흰구름길입구 시발 2.5km,37.62938526388889,127.00929057777778,142.0
다사56685865,둘레길 103-06,흰구름길입구 시발 2.9km,37.626256758333334,127.0090565,126.0
다사56795841,둘레길 103-07,흰구름길입구 시발 3.4km,37.62417353888889,127.0103505,157.0
다사55405754,둘레길 105-01,명상길입구 시발 0.4km,37.616306602777776,126.99465623611111,221.0
다사55305741,둘레길 105-02,명상길입구 시발 1.0km,37.61506321388889,126.99362248888889,177.0
다사55035750,둘레길 105-03,명상길입구 시발 1.3km,37.615857250000005,126.99044933611111,173.0
다사54695726,둘레길 105-04,명상길입구 시발 1.9km,37.61366331666667,126.98667130277778,249.0
다사54515721,둘레길 105-05,명상길입구 시발 2.2km,37.613251641666665,126.98465954166667,246.0
다사50315730,둘레길 108-01,구름정원길 입구 0.35km,37.6138226,126.93698767,107.0
다사50315783,둘레길 108-02,힐스테이트 3차아파트 뒷편,37.61864329,126.93704061,100.0
다사50475974,둘레길 108-03,구름정원길 끝지점 0.2km 상단,37.63581706,126.93866238,116.0
다사50556088,둘레길 109-01,태극기길 끝지점 0.1km 상단,37.64612276,126.93956025,43.0
다사51286158,둘레길 110-01,백화사 ~ 북한산초등학교 구간 0.3km,37.65244183,126.94776115,76.0
다사52556475,둘레길 112-01,충의길입구 시발 0.7km,37.681147161111106,126.96192373611112,127.0
다사52696500,둘레길 112-02,충의길입구 시발 1.4km,37.683403827777774,126.96352734722223,154.0
다사52596530,둘레길 112-03,충의길입구 시발 1.9km,37.68609813333333,126.96242958333333,98.0
다사52676549,둘레길 112-04,충의길입구 시발 2.15km,37.68780192222222,126.963165425,134.0
다사53096577,둘레길 112-05,충의길입구 시발 2.8km,37.69029019166666,126.96801798611111,171.0
다사55846471,둘레길 121-07,우이탐방지원센터 상단 700m,37.68089280277778,126.9992197,271.0
다사56136447,둘레길 121-08,우이탐방지원센터 상단 200m,37.67882094444444,127.00250278611111,224.0
다사51666266,둘레길111-01,효자길 입구(아치문),37.66222107,126.95200042,65.0
다사52216396,둘레길111-02,효자비~밤골입구 구간 상단 0.4km,37.67394363,126.958133,137.0
다사56966353,북한  23-1,송전탑,37.67026973611111,127.01202623055555,158.0
다사57156401,북한  23-2,송전탑 상단 500m,37.67470651111111,127.01409706388888,251.0
다사56976453,북한  23-3,원통사 삼거리,37.679298913888886,127.01209743333334,312.0
다사51805824,북한 01-01,비봉탐방지원센터 상단 600m,37.622366755555554,126.95385072222223,317.0
다사51875851,북한 01-02,비봉탐방지원센터 상단 1200m,37.62481112222222,126.95460118055556,446.0
